4_0	15_1	82.645	484	80	1	44	527	34	513	0.0	856
4_0	15_0	75.592	549	105	3	1	530	1	539	0.0	855
4_0	15_2	75.975	487	116	1	34	520	21	506	0.0	790
4_0	15_3	75.099	506	121	4	17	521	19	520	0.0	783
4_1	15_0	78.229	542	106	3	1	537	1	535	0.0	882
4_1	15_1	80.855	491	86	2	51	540	32	515	0.0	847
4_1	15_2	82.327	447	79	0	86	532	61	507	0.0	805
4_1	15_3	71.142	499	132	2	50	537	28	525	0.0	759
4_2	15_1	88.199	483	51	1	38	514	32	514	0.0	901
4_2	15_0	78.378	518	76	3	32	513	19	536	0.0	852
4_2	15_2	77.183	504	99	3	3	506	19	506	0.0	815
4_2	15_3	74.428	481	113	3	40	513	47	524	0.0	755
4_3	15_2	87.751	449	55	0	58	506	60	508	0.0	854
4_3	15_1	80.430	465	91	0	43	507	45	509	0.0	808
4_3	15_0	81.596	451	83	0	60	510	85	535	0.0	803
4_3	15_3	73.810	462	120	1	49	510	65	525	0.0	731
